movieId,provider_id,provider_name,type
1,3,Google Play Movies,rent
1,337,Disney Plus,flatrate
1,167,Claro video,flatrate
1,3,Google Play Movies,buy
2,339,Movistar Play,rent
2,167,Claro video,rent
2,8,Netflix,flatrate
2,339,Movistar Play,flatrate
2,2,Apple iTunes,buy
2,3,Google Play Movies,buy
3,2,Apple iTunes,rent
3,3,Google Play Movies,rent
3,119,Amazon Prime Video,flatrate
3,339,Movistar Play,flatrate
3,2,Apple iTunes,buy
3,3,Google Play Movies,buy
4,3,Google Play Movies,rent
4,619,Star Plus,flatrate
4,3,Google Play Movies,buy
5,3,Google Play Movies,rent
5,3,Google Play Movies,buy
6,8,Netflix,flatrate
6,119,Amazon Prime Video,flatrate
6,619,Star Plus,flatrate
6,11,Mubi,flatrate
6,339,Movistar Play,flatrate
7,2,Apple iTunes,rent
7,3,Google Play Movies,rent
7,167,Claro video,rent
7,2,Apple iTunes,buy
7,3,Google Play Movies,buy
8,337,Disney Plus,flatrate
9,2,Apple iTunes,rent
9,3,Google Play Movies,rent
9,167,Claro video,rent
9,2,Apple iTunes,buy
9,3,Google Play Movies,buy
10,2,Apple iTunes,rent
10,3,Google Play Movies,rent
10,2,Apple iTunes,buy
10,3,Google Play Movies,buy
11,2,Apple iTunes,rent
11,167,Claro video,rent
11,2,Apple iTunes,buy
13,2,Apple iTunes,rent
13,3,Google Play Movies,rent
13,8,Netflix,flatrate
13,2,Apple iTunes,buy
13,3,Google Play Movies,buy
14,619,Star Plus,flatrate
16,2,Apple iTunes,rent
16,3,Google Play Movies,rent
16,167,Claro video,rent
16,384,HBO Max,flatrate
16,339,Movistar Play,flatrate
16,31,HBO Go,flatrate
16,2,Apple iTunes,buy
16,3,Google Play Movies,buy
17,8,Netflix,flatrate
17,2,Apple iTunes,buy
17,3,Google Play Movies,buy
18,167,Claro video,rent
19,3,Google Play Movies,rent
19,167,Claro video,rent
19,8,Netflix,flatrate
19,531,Paramount Plus,flatrate
19,2,Apple iTunes,buy
19,3,Google Play Movies,buy
21,3,Google Play Movies,rent
21,3,Google Play Movies,buy
23,2,Apple iTunes,rent
23,339,Movistar Play,rent
23,339,Movistar Play,flatrate
23,2,Apple iTunes,buy
25,2,Apple iTunes,rent
25,2,Apple iTunes,buy
26,2,Apple iTunes,rent
26,3,Google Play Movies,rent
26,2,Apple iTunes,buy
26,3,Google Play Movies,buy
28,2,Apple iTunes,buy
31,167,Claro video,rent
31,619,Star Plus,flatrate
32,2,Apple iTunes,rent
32,3,Google Play Movies,rent
32,167,Claro video,rent
32,2,Apple iTunes,buy
32,3,Google Play Movies,buy
34,2,Apple iTunes,rent
34,3,Google Play Movies,rent
34,167,Claro video,rent
34,2,Apple iTunes,buy
34,3,Google Play Movies,buy
36,2,Apple iTunes,rent
36,2,Apple iTunes,buy
39,2,Apple iTunes,rent
39,3,Google Play Movies,rent
39,167,Claro video,rent
39,384,HBO Max,flatrate
39,2,Apple iTunes,buy
39,3,Google Play Movies,buy
44,2,Apple iTunes,rent
44,3,Google Play Movies,rent
44,384,HBO Max,flatrate
44,339,Movistar Play,flatrate
44,2,Apple iTunes,buy
44,3,Google Play Movies,buy
46,2,Apple iTunes,rent
46,167,Claro video,rent
46,2,Apple iTunes,buy
47,2,Apple iTunes,rent
47,3,Google Play Movies,rent
47,167,Claro video,rent
47,384,HBO Max,flatrate
47,2,Apple iTunes,buy
47,3,Google Play Movies,buy
48,3,Google Play Movies,rent
48,337,Disney Plus,flatrate
48,3,Google Play Movies,buy
50,3,Google Play Movies,rent
50,167,Claro video,rent
50,3,Google Play Movies,buy
54,337,Disney Plus,flatrate
61,2,Apple iTunes,rent
61,3,Google Play Movies,rent
61,2,Apple iTunes,buy
61,3,Google Play Movies,buy
65,2,Apple iTunes,rent
65,2,Apple iTunes,buy
68,167,Claro video,rent
69,2,Apple iTunes,rent
69,8,Netflix,flatrate
69,2,Apple iTunes,buy
70,2,Apple iTunes,rent
70,167,Claro video,rent
70,2,Apple iTunes,buy
71,2,Apple iTunes,rent
71,384,HBO Max,flatrate
71,2,Apple iTunes,buy
79,384,HBO Max,flatrate
79,31,HBO Go,flatrate
79,2,Apple iTunes,buy
88,2,Apple iTunes,rent
88,3,Google Play Movies,rent
88,2,Apple iTunes,buy
88,3,Google Play Movies,buy
92,2,Apple iTunes,buy
93,3,Google Play Movies,rent
93,3,Google Play Movies,buy
95,3,Google Play Movies,rent
95,619,Star Plus,flatrate
95,3,Google Play Movies,buy
100,384,HBO Max,flatrate
100,339,Movistar Play,flatrate
100,31,HBO Go,flatrate
100,2,Apple iTunes,buy
101,2,Apple iTunes,buy
104,2,Apple iTunes,rent
104,3,Google Play Movies,rent
104,167,Claro video,rent
104,8,Netflix,flatrate
104,2,Apple iTunes,buy
104,3,Google Play Movies,buy
105,2,Apple iTunes,rent
